sID,RAND,Stressor,Label,,,,,,,,,,,,,,,,
4987,0.336317535,i have to get good grades to do so. and,School,,,,,,,,,,,,,,,,
766,0.796934134,I feel lonely because I'm single.,Emotional Turmoil,,,,,,,,,,,,,,,,
330,0.504459463,getting an internship this summer..,School,,,,,,,,,,,,,,,,
5839,0.117376807,So now I'm in this really shitty mood where I don't feel like I will or can do anything with my life.,Emotional Turmoil,,,,,,,,,,,,,,,,
2330,0.499679236,reaching my goals at work,Work,,,,,,,,,,,,,,,,
5699,0.258488418,"I worry about the SD, worry whether or not this is going to wreck her at a very crucial point in her life.",Social Relationships,,,,,,,,,,,,,,,,
5720,0.338769381,I'm really stressed and overwhelmed.,Other,,,,,,,,,,,,,,,,
5935,0.822751844,I don't know what to do for the remaining hours of today.,Everyday Decision Making,,,,,,,,,,,,,,,,
3673,0.853804948,Since then he has had a major infection in his hand and been unable to work.,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
4125,0.873777047,It seems like my whole life is falling apart ... again ... and I need to get shit straightened out.,Emotional Turmoil,,,,,,,,,,,,,,,,
2518,0.125525672,The coronavirus and all its effecs,Emotional Turmoil,,,,,,,,,,,,,,,,
291,0.325940971,Figuring out to work from home,Work,,,,,,,,,,,,,,,,
3257,0.046264046,"In other news, I'm not really sure what's going on with me health wise.","Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
920,0.647320717,i have been stressed about the move coming up.,Other,,,,,,,,,,,,,,,,
4584,0.698036528,lol i need to start saving Then went to work which was the most boring day at work i have EVER experienced.,Other,,,,,,,,,,,,,,,,
3928,0.354317062,i called out of work and i am feeling very guilty about it.,Work,,,,,,,,,,,,,,,,
6257,0.590750028,"my family never helps, no, they make things worse.",Family Issues,,,,,,,,,,,,,,,,
1125,0.224902599,"i really need to get more sleep, but can't seem to do it!","Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
5198,0.547556233,Been working my tail off trying to prep for a huge loss in billable hours thanks to the holidays.,Work,,,,,,,,,,,,,,,,
2207,0.890661005,Not knowing how COVID-19 will affect my job/pay,Work,,,,,,,,,,,,,,,,
3885,0.562227537,yes...now i'm sad because i have to work.,Work,,,,,,,,,,,,,,,,
3732,0.704178594,the treat of martial law.,Other,,,,,,,,,,,,,,,,
6490,0.670089253,We have to go to school Tuesday and I'm a freshmen at RCB.,School,,,,,,,,,,,,,,,,
1187,0.235553103,i would openly explain the situation in complete detail.,Other,,,,,,,,,,,,,,,,
3809,0.128634181,Trump's reaction to everything is making me crazy,Other,,,,,,,,,,,,,,,,
5676,0.042707941,"maybe stress, anxiety, wahtever but i cant keep doing this.",Emotional Turmoil,,,,,,,,,,,,,,,,
4627,0.720208299,"Is that allowed? I'm going to need all the hours just to get it to stick together properly, I can see that already.",Other,,,,,,,,,,,,,,,,
2890,0.191265355,Uncertainty of the future of my current position at work.,Work,,,,,,,,,,,,,,,,
1725,0.732871241,my amount of credit card debt,Financial Problem,,,,,,,,,,,,,,,,
4663,0.148198074,"I work hard, and I do exercises at home every day, but I still can't get my arm to go straight up.","Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
3530,0.825039605,He's been up for a couple of hours and has been chastising me for writing this long before I started it.,Family Issues,,,,,,,,,,,,,,,,
6605,0.637924877,i'm feeling kinda depressed lately in a way that sort of worries me!,Emotional Turmoil,,,,,,,,,,,,,,,,
3201,0.496386581,my back muscles now ache from the overuse.,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
6648,0.087610958,"I tried to talk to him, when all I wanted to do was give him a friendlt hug back, but given our history, I didn't think it was appropriate.",Social Relationships,,,,,,,,,,,,,,,,
4515,0.261674007,I am massively frustrated with just about every aspect of my life from family to school to boys to friends to work to you name it basically.,School,,,,,,,,,,,,,,,,
2501,0.062908889,the corona virus and it spreading,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
1285,0.701645202,I'm officially off of work because of the Coronavirus,Work,,,,,,,,,,,,,,,,
5360,0.660716609,"I'm tired of having to tell poeple that It's hard for me to trust them, or people.",Social Relationships,,,,,,,,,,,,,,,,
903,0.550846774,i have been stessing out about getting my strength back in my legs after finding out i h,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
4055,0.431648598,I'm getting upset that i keep missing Will and Grace!,Other,,,,,,,,,,,,,,,,
3505,0.437748072,Today I had a horrible headache and body ache and finally don't feel it anymore!!!,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
2702,0.499465547,The virus spreading the world,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
2067,0.078225699,My selfish co-worker is draining...,Work,,,,,,,,,,,,,,,,
4099,0.363301297,I'm stressed right now trying to get the last bit of school stuff taken care of.,School,,,,,,,,,,,,,,,,
6501,0.298933757,"I'm leaning over to the don't finish school, but I have some small hopes of finishing, passing.",School,,,,,,,,,,,,,,,,
5465,0.389957922,Things like why is it so hard for me to meet new people and make new friendships.,Social Relationships,,,,,,,,,,,,,,,,
2617,0.40405318,the kids have been behaving badly,Family Issues,,,,,,,,,,,,,,,,
849,0.698261484,i have all this work and no time to do anything idk what to do,Work,,,,,,,,,,,,,,,,
6371,0.959511415,I think he was traumatized by his mom to always have something to do and not sit idly doing nothing.,Family Issues,,,,,,,,,,,,,,,,
3598,0.884432674,I think my dog is sick. or something's wrong with him.,Other,,,,,,,,,,,,,,,,
6752,0.44365424,I really need to get a money job.,Other,,,,,,,,,,,,,,,,
4804,0.221834584,I'm so worried all the time I can't relax.,Everyday Decision Making,,,,,,,,,,,,,,,,
3054,0.691288624,work is doing my head in,Work,,,,,,,,,,,,,,,,
3778,0.747046363,Finding childcare has been hard!,Family Issues,,,,,,,,,,,,,,,,
4212,0.731371196,man i must have been really tired becuase i dont see how my spelling could be understood.,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
6107,0.818857185,I have waaay too many bills to pay and not nearly enough money to cover them.,Financial Problem,,,,,,,,,,,,,,,,
1136,0.286611106,"I stress about work, family, and my weight.",Work,,,,,,,,,,,,,,,,
6238,0.679271294,"Secondly, I know my mom worries a lot, but when she says things like that to me, it scares me.",Family Issues,,,,,,,,,,,,,,,,
3942,0.053080092,I feel like my life is one bad decision after the next.,Everyday Decision Making,,,,,,,,,,,,,,,,
1411,0.559366353,It's been alright. Not super great...,Other,,,,,,,,,,,,,,,,
1143,0.491679316,i think it is my parents health,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
304,0.105365017,financial issues have been getting to me,Financial Problem,,,,,,,,,,,,,,,,
580,0.264566175,i am really deciding on whether i should quit my job or not.,Work,,,,,,,,,,,,,,,,
3747,0.173652587,I have been having a problem in cooking pizza buddy. I kindly need your help.,Other,,,,,,,,,,,,,,,,
6513,0.774024921,i need to apply to school.,School,,,,,,,,,,,,,,,,
3782,0.445886497,I have been stressed out about moving.,Other,,,,,,,,,,,,,,,,
6068,0.498136729,"i already had to cancel my classes tomorrow, which is no good for a poor teacher like me.",Work,,,,,,,,,,,,,,,,
4296,0.80019346,"so many things have been bothering me lately, and i feel like i am about ready to have a breakdown.",Emotional Turmoil,,,,,,,,,,,,,,,,
1077,0.268174121,i just started working a new job and i'm worried about messing up,Work,,,,,,,,,,,,,,,,
1269,0.571908904,i'm late on my rent and my electric will be shut off if i don't pay by tomorrow. you?,Financial Problem,,,,,,,,,,,,,,,,
4831,0.890022632,i've been so busy studying for finals that i haven't had time to update.,School,,,,,,,,,,,,,,,,
3131,0.713971585,WORRYING ABOUT EXPOSURE TO COVID AT THE HOSPITAL WHERE I WORK,Work,,,,,,,,,,,,,,,,
6338,0.481670495,My daughter is suffering badly from the relationship my mother created between that old man and my child.,Family Issues,,,,,,,,,,,,,,,,
5345,0.634072241,I can't have a nice life!,Emotional Turmoil,,,,,,,,,,,,,,,,
4774,0.723352581,we can't eat the whole time.,Other,,,,,,,,,,,,,,,,
3891,0.726212432,"Conversation on the way home from Gville made me pretty frustrated, I don't know.",Social Relationships,,,,,,,,,,,,,,,,
6246,0.242864831,My mom is really starting to irk me.,Family Issues,,,,,,,,,,,,,,,,
1345,0.843151661,i'm tired of stephanie telling me she is going to hire more help.,Work,,,,,,,,,,,,,,,,
3249,0.534962373,"i had a head ache, back ache and tooth ache.","Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
4400,0.916031919,The problem comes when you are constantly thinking about it.,Other,,,,,,,,,,,,,,,,
1150,0.666993759,i totaled my car and i need another car asap.,Financial Problem,,,,,,,,,,,,,,,,
2477,0.495499211,"thanks, i'm just dealing with some stuff.",Other,,,,,,,,,,,,,,,,
6688,0.083038738,Trying to cope with conditions which you think are beyond your capabilities has led to considerable anxiety and stress.,Emotional Turmoil,,,,,,,,,,,,,,,,
669,0.327193536,I am worried about being laid-off at work.,Work,,,,,,,,,,,,,,,,
2302,0.096398951,planning a meal,Everyday Decision Making,,,,,,,,,,,,,,,,
5335,0.028372607,"My boyfriend. I haven't seen him, or been able to communicate easily, for nearly a month.",Social Relationships,,,,,,,,,,,,,,,,
2339,0.679887586,Recently I have been super stressed that I'm losing someone who is very special,Family Issues,,,,,,,,,,,,,,,,
6095,0.390328568,"We didn't have enough money in the first place so, what the fuck is your problem old man?",Financial Problem,,,,,,,,,,,,,,,,
2936,0.290857624,"Well, it has been difficult staying at home.",Emotional Turmoil,,,,,,,,,,,,,,,,
3173,0.811381901,The problem is that I don't sleep very well.,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
3858,0.459773242,"to top it all off, now I'm worried about my dreams because they've started to become inconsistent.",Emotional Turmoil,,,,,,,,,,,,,,,,
4630,0.757877133,"Not something I'm really looking forward to, but Gerry still hasn't called me back or responded to the emial I sent Wednesday, so whatever. I need money.",Financial Problem,,,,,,,,,,,,,,,,
2627,0.000196788,the management of my work place insults my new idea about a project,Work,,,,,,,,,,,,,,,,
5280,0.322748168,Just I've been having tons of mood swings and it sucks cause I end up hurting someones feelings and then I feel even worse.,Emotional Turmoil,,,,,,,,,,,,,,,,
4193,0.181626202,"Lately it all seems to be going wrong, oddly enough since I last moved.",Other,,,,,,,,,,,,,,,,
350,0.03901331,girl christmas is coming up and i dont have any money to buy my children anything.,Financial Problem,,,,,,,,,,,,,,,,
1310,0.393253877,i'm stressed about being able to graduate and find a job,School,,,,,,,,,,,,,,,,
1749,0.191190251,my boss is an asshole.,Work,,,,,,,,,,,,,,,,
83,0.375469066,"being a caregiver for a sick family friend, i feel like i have no time to myself",Social Relationships,,,,,,,,,,,,,,,,
199,0.027011177,covid19 has messed with my sleep schedule a bit,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
3424,0.708588225,I think the dog I am babysitting is dying.,Emotional Turmoil,,,,,,,,,,,,,,,,
6283,0.870039009,"This is a huge burden, and my mom feels bad.",Family Issues,,,,,,,,,,,,,,,,
3302,0.145306112,I think i have a sleeping problem. I cannot seem to get to sleep.. stress?,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
5317,0.522368222,"Not that it really matters or anything as adults should enjoy life as they see fit,and neither am I complaining or passing judgment on anybody but man!",Other,,,,,,,,,,,,,,,,
5755,0.66747596,You can get very upset when you are frustrated.,Emotional Turmoil,,,,,,,,,,,,,,,,
6264,0.554681984,Its wierd but me and my brother are really sick.,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
6749,0.108573969,"You're the reason I can't trust people, the reason I hate talking, and the reason I'm so violent and internally rebellious.",Social Relationships,,,,,,,,,,,,,,,,
4526,0.851090124,"Everyday is a struggle between what I want to say, and what I should keep to myself.",Social Relationships,,,,,,,,,,,,,,,,
2778,0.274283526,This issue about Covid-19 is very stressful to me!,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
283,0.799418812,feeling inadequate at work/doubting what occupation fits for me,Work,,,,,,,,,,,,,,,,
2461,0.660868593,super busy and overwhelmed lately,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
5377,0.127836686,You always hear people complaining about how there's too much drama in their lives.,Other,,,,,,,,,,,,,,,,
3768,0.472796091,The uncertainty of the economy,Other,,,,,,,,,,,,,,,,
2725,0.1715298,there is not enough to do around here i am worried that i might lose my job,Work,,,,,,,,,,,,,,,,
357,0.699540623,global warming keeps getting worse and worse.,Other,,,,,,,,,,,,,,,,
4934,0.131369469,thats about it ill be busy studying for finals this weekend so cya some other time.,School,,,,,,,,,,,,,,,,
3766,0.328874887,"I really want to plan a vacation, but COVID has made me question whether travel is safe",Emotional Turmoil,,,,,,,,,,,,,,,,
1955,0.289101323,my job has had a ton of drama :(,Work,,,,,,,,,,,,,,,,
1505,0.894199303,i've been studying for my midterms and i don't feel like i'm doing well,School,,,,,,,,,,,,,,,,
4667,0.408864513,gettin this shit together has had me so stressed out lately.,Other,,,,,,,,,,,,,,,,
6540,0.933496274,I have an exam tomorrow and I haven't studied.,School,,,,,,,,,,,,,,,,
6813,0.078466472,My mom is driving me INSANE.,Family Issues,,,,,,,,,,,,,,,,
2414,0.20179468,sleep,Other,,,,,,,,,,,,,,,,
2409,0.477132243,sex,Other,,,,,,,,,,,,,,,,
2361,0.137858047,school,School,,,,,,,,,,,,,,,,
2245,0.192739602,oh my goodness where do i start? my teenagers have been stressing me out to the max,Family Issues,,,,,,,,,,,,,,,,
171,0.295986363,CORNOAVIRUS AND THE UNKNOWN,Other,,,,,,,,,,,,,,,,
2078,0.136826227,my skin has been breaking out and i need a regimen that will clear it up.,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
1700,0.125041524,money problems for school is a bust,School,,,,,,,,,,,,,,,,
6621,0.063511539,"Living with someone like this is tremendously demanding and anxiety provoking, causing the abused person to feel constantly frightened, unsettled and off balance.",Emotional Turmoil,,,,,,,,,,,,,,,,
4588,0.36465746,There's just not enough time in the day for me to get stuff done.,Everyday Decision Making,,,,,,,,,,,,,,,,
1463,0.725063556,i've been really stressed out about my custody hearing and just hoping everything goes w,Family Issues,,,,,,,,,,,,,,,,
103,0.446735099,Being quarantined for the coronavirus in our town,Emotional Turmoil,,,,,,,,,,,,,,,,
3080,0.149749358,Work pressure in my current project,Work,,,,,,,,,,,,,,,,
1389,0.883796104,issues we have at work about data,Work,,,,,,,,,,,,,,,,
4724,0.83400249,i've gotten really behind on keeping dishes washed.,Other,,,,,,,,,,,,,,,,
5951,0.666475175,"Gosh, this hurts me so much.",Emotional Turmoil,,,,,,,,,,,,,,,,
3496,0.25048321,and i'm trying to get off the medication i've been on for FOUR YEARS and i'm scared shitless. actually beyond shitless.,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
6843,0.013272592,My mother is pissing me off.,Family Issues,,,,,,,,,,,,,,,,
759,0.652989603,i feel like i don't have enough money saved up for emergencies.,Financial Problem,,,,,,,,,,,,,,,,
1924,0.362393941,my husband is stressing me out. he lost his job and he's been home waay to much!!,Emotional Turmoil,,,,,,,,,,,,,,,,
4912,0.119285461,I couldn't get up for classes.,School,,,,,,,,,,,,,,,,
469,0.498059973,hi! right now i'm struggling with financial problems since i just recently moved here.,Financial Problem,,,,,,,,,,,,,,,,
6334,0.271781404,To every girl that cries at night because of another heartbreak.,Emotional Turmoil,,,,,,,,,,,,,,,,
5013,0.167929562,"I just found out today that i'm due to register for classes on tuesday, i got to debate against the college republicans wednesday, and i got a paper due monday.",School,,,,,,,,,,,,,,,,
39,0.973782848,all 3 of my grown children have significant issues going on.,Family Issues,,,,,,,,,,,,,,,,
4492,0.496833962,"well, i have to take a shower and then freeze when i get out because it's like in the 'teens outside and really super cold in my house.",Everyday Decision Making,,,,,,,,,,,,,,,,
3497,0.86384565,It's taken me almost 4 months of agonizing and relentless stress and fears to finally come to this decision.,Everyday Decision Making,,,,,,,,,,,,,,,,
398,0.21736765,having to replace the carpets in our living room.,Everyday Decision Making,,,,,,,,,,,,,,,,
6585,0.548855046,About our course mate who passed away in a tragic car accident.,Social Relationships,,,,,,,,,,,,,,,,
2110,0.337858919,my supervisor currently pushes me a lot to turn in reports,Work,,,,,,,,,,,,,,,,
28,0.148862652,a recent project at my workplace has been giving much stress lately.,Work,,,,,,,,,,,,,,,,
6158,0.145379309,We are growing worried about Mother.,Family Issues,,,,,,,,,,,,,,,,
4737,0.648876308,"Me and Christine's room keeps getting emptier because we've been taking a lot of stuff home, which is sad.",Emotional Turmoil,,,,,,,,,,,,,,,,
6098,0.581208521,"It's shitty. also, not to mention the no money and ability to do anything cause of my huge amounts of debt.",Financial Problem,,,,,,,,,,,,,,,,
636,0.463759587,i am stressing out about graduate school,School,,,,,,,,,,,,,,,,
61,0.481516058,anything i can do to help?,Other,,,,,,,,,,,,,,,,
