Character-ID,Gender,Hair,Hat,TShirt,Pants,Shoes,Beard,Accessory,Fat,Muscles,Slimness,Thin,BreastSize,Neck_Width,Ear_Size,Ear_Angle,Jaw_Width,Jaw_Shift,Jaw_Offset,Cheek_Size,Chin_Offset,Eye_Width,Eye_Form,Eye_InnerCorner,Eye_Corner,Eye_Rotation,Eye_Offset,Eye_ScaleX,Eye_ScaleY,Eye_Size,Eye_Close,Eye_Height,Brow_Height,Brow_Shape,Brow_Thickness,Brow_Length,Nose_Length,Nose_Size,Nose_Angle,Nose_Offset,Nose_Bridge,Nose_Hump,Mouth_Offset,Mouth_Width,Mouth_Size,Mouth_Open,Mouth_Bulging,LipsCorners_Offset,Face_Form,Chin_Width,Chin_Form,Head_Offset,Height,Smile,Sadness,Surprise,Thoughtful,Angry,HeadSize,SkinColor.r,SkinColor.g,SkinColor.b,SkinColor.a,EyeColor.r,EyeColor.g,EyeColor.b,EyeColor.a,HairColor.r,HairColor.g,HairColor.b,HairColor.a,UnderpantsColor.r,UnderpantsColor.g,UnderpantsColor.b,UnderpantsColor.a,Answer.q1_Description,Answer.q2_Description,Answer.q3_Description,AnswerCombined
5252902483009-242,0,9,-1,1,10,0,-1,10,100,0,33.33333206,0,66.66666412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333206,0.059999999,0,0,0,0,0,-0.083333336,0.66015625,0.30859375,0.1796875,1,0,0.4921875,0,1,0.73046875,0.4453125,0,1,0.273584902,0.273584902,0.273584902,1,This is a heavy set lightly tan man. He has shoulder length dirt blond hair. He is standing in a nonchalant pose.,He is wearing white tennis shoes. His pants are construction worker high visibility pants with knee pads. He is wearing a white short sleeved shirt with a red vest over it.,This man looks like he works on a construction site. He looks like he has a drinking problem and is rather upset. He is unhappy about how his life has turned out.,This is a heavy set lightly tan man. He has shoulder length dirt blond hair. He is standing in a nonchalant pose. He is wearing white tennis shoes. His pants are construction worker high visibility pants with knee pads. He is wearing a white short sleeved shirt with a red vest over it. This man looks like he works on a construction site. He looks like he has a drinking problem and is rather upset. He is unhappy about how his life has turned out.
1339030012771-52,0,1,-1,6,10,0,-1,9,33.33333206,0,33.33333206,0,66.66666412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-0.02,0,0,0,0,0,-0.083333336,0.8203125,0.46875,0.33984375,1,0,0.4921875,0,1,0,0,0,1,0.273584902,0.273584902,0.273584902,1,White female with very green eyes. Very dark shoulder length hair. Very tall and well built.,Long zipped up brown fleece. Tanned worker pants with the dark knee patch. White shoes and blue face mask.,Very strong minded individual. Cares about their health. Relaxed posture for them.,White female with very green eyes. Very dark shoulder length hair. Very tall and well built. Long zipped up brown fleece. Tanned worker pants with the dark knee patch. White shoes and blue face mask. Very strong minded individual. Cares about their health. Relaxed posture for them.
1341664335040-53,0,1,-1,3,0,12,-1,9,33.33333206,0,33.33333206,0,33.33333206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.33333206,-0.02,0,0,0,0,0,0.083333336,0.7578125,0.38671875,0.2578125,1,0.7421875,0.7421875,0.7421875,1,0.99609375,0.99609375,0.99609375,1,0.273584902,0.273584902,0.273584902,1,They have long silver/white hair. They are older in age. They are light skinned.,They are wearing a long-sleeved red shirt. They have on a blue facemask. They have grey knee-high pants on.,They seem to be out in public and want to keep from spreading germs. They are pretty relaxed looking. They may be a teacher or a day care provider.,They have long silver/white hair. They are older in age. They are light skinned. They are wearing a long-sleeved red shirt. They have on a blue facemask. They have grey knee-high pants on. They seem to be out in public and want to keep from spreading germs. They are pretty relaxed looking. They may be a teacher or a day care provider.
5254100421237-243,0,9,-1,10,9,2,-1,-1,66.66666412,0,100,0,33.33333206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.02,0,0,0,0,0,-0.083333336,0.88671875,0.53515625,0.41015625,1,0.125,0.59375,0.99609375,1,0,0.76953125,0,1,0.273584902,0.273584902,0.273584902,1,This woman is very tall. She has very long legs. She has light skin and shoulder length green hair.,She is wearing a dark blue collared shirt and a black tie. Her pants are also dark blue. She is wearing light colored sneakers.,She is probably a security guard. I don't believe she could be a police officer with bright green hair. Makes her look kind of messy and unprofessional.,This woman is very tall. She has very long legs. She has light skin and shoulder length green hair. She is wearing a dark blue collared shirt and a black tie. Her pants are also dark blue. She is wearing light colored sneakers. She is probably a security guard. I don't believe she could be a police officer with bright green hair. Makes her look kind of messy and unprofessional.
1344829879623-54,0,1,1,6,5,5,-1,9,100,0,100,0,33.33333206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333206,-0.02,0,0,0,0,0,0.083333336,0.40234375,0.1796875,0.12890625,1,0.125,0.59375,0.99609375,1,0.7421875,0.7421875,0.7421875,1,0.273584902,0.273584902,0.273584902,1,"Person is female, has brown skin, and blue eyes.","The person is wearing a gray cap, a Covid mask, a purple jacket, gray slacks, and yellow heels.","The person appears alert, and she appears to be middle-aged possibly someone's mom.","Person is female, has brown skin, and blue eyes. The person is wearing a gray cap, a Covid mask, a purple jacket, gray slacks, and yellow heels. The person appears alert, and she appears to be middle-aged possibly someone's mom."
5257434192251-244,0,9,-1,9,0,4,-1,-1,66.66666412,0,66.66666412,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.33333206,0.02,0,0,0,0,0,0.083333336,0.4921875,0.24609375,0.15625,1,0.37890625,0.15625,0,1,0.7421875,0.7421875,0.7421875,1,0.273584902,0.273584902,0.273584902,1,This lady has darker skin. Dark brown skin I would say. She has grey shoulder length hair. Her eyebrows are also grey and she has dark eyes. She is medium height and has a slim build.,She has long knee length shorts on. They are light bluish grey. She has a red zip up athletic type running jacket on. Her shoes look like basketball high tops.,She looks very athletic. Like a runner maybe. Or at least she is out on a run. Her bearing is very athletic too.,This lady has darker skin. Dark brown skin I would say. She has grey shoulder length hair. Her eyebrows are also grey and she has dark eyes. She is medium height and has a slim build. She has long knee length shorts on. They are light bluish grey. She has a red zip up athletic type running jacket on. Her shoes look like basketball high tops. She looks very athletic. Like a runner maybe. Or at least she is out on a run. Her bearing is very athletic too.
1347343728544-55,0,1,-1,9,7,7,-1,9,33.33333206,0,66.66666412,0,66.66666412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.02,0,0,0,0,0,0.083333336,0.41015625,0.1796875,0.09765625,1,0.7421875,0.7421875,0.7421875,1,0.99609375,0.265625,0,1,0.273584902,0.273584902,0.273584902,1,This person is tall with long legs and appears to be very fit. She has dark brown skin and white eyes. She is no longer straight orange hair and orange eyebrows.,Is wearing a blue mask that covers her face. She has on a red jacket that zips in the middle. She's also wearing blue shorts with white trim and grey pumps.,This woman appears to be a professional who lives in the city. I feel like she's probably commuting to a professional job. She seems young and in charge.,This person is tall with long legs and appears to be very fit. She has dark brown skin and white eyes. She is no longer straight orange hair and orange eyebrows. Is wearing a blue mask that covers her face. She has on a red jacket that zips in the middle. She's also wearing blue shorts with white trim and grey pumps. This woman appears to be a professional who lives in the city. I feel like she's probably commuting to a professional job. She seems young and in charge.
5259442462869-245,0,9,-1,9,0,8,-1,-1,33.33333206,0,33.33333206,0,66.66666412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333206,0.02,0,0,0,0,0,0.083333336,0.66015625,0.30859375,0.1796875,1,0.7421875,0.7421875,0.7421875,1,0.99609375,0,0.99609375,1,0.273584902,0.273584902,0.273584902,1,She appears to be a tall latina woman. She appears in good shape. She has shoulder lengthÂ purple hair.,She is wearing a red long sleeve shirt. She has on light gray shorts. She is wearingÂ blue shoes.,She appears casual overall. She could be a cyclist. She is looking straight ahead of her,She appears to be a tall latina woman. She appears in good shape. She has shoulder lengthÂ purple hair. She is wearing a red long sleeve shirt. She has on light gray shorts. She is wearingÂ blue shoes. She appears casual overall. She could be a cyclist. She is looking straight ahead of her
1351623741336-56,0,1,-1,4,5,6,-1,9,33.33333206,0,66.66666412,0,66.66666412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.33333206,0.059999999,0,0,0,0,0,0.25,0.8203125,0.46875,0.33984375,1,0.80078125,0.2421875,0.99609375,1,0.99609375,0.5,0.0234375,1,0.273584902,0.273584902,0.273584902,1,She has light skin and dirty blonde hair. She is short with a short torso and long legs. She is skinny.,She's got a small black short sleeve top on. She is wearing long black pants. She has a blue mask on.,She looks like the cautious type. She might be a germaphobe or just overly cautious when it comes to her health. She seems timid.,She has light skin and dirty blonde hair. She is short with a short torso and long legs. She is skinny. She's got a small black short sleeve top on. She is wearing long black pants. She has a blue mask on. She looks like the cautious type. She might be a germaphobe or just overly cautious when it comes to her health. She seems timid.
5261697544283-246,0,9,-1,9,4,4,-1,-1,66.66666412,0,33.33333206,0,33.33333206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.02,0,0,0,0,0,0.083333336,0.40234375,0.1796875,0.12890625,1,0.125,0.59375,0.99609375,1,0.73046875,0.4453125,0,1,0.273584902,0.273584902,0.273584902,1,The woman has long slender legs.  She has a medium skin tone.  Her hair is a yellowish color.  The woman has light colored eyes.,The woman is wearing a red zippered down jacket.  Her pants are short and grey.  She is wearing laced up dark colored sneakers.,The woman is athletic.  She likes to exercise and go for runs.  She likes to spend time outside.,The woman has long slender legs.  She has a medium skin tone.  Her hair is a yellowish color.  The woman has light colored eyes. The woman is wearing a red zippered down jacket.  Her pants are short and grey.  She is wearing laced up dark colored sneakers. The woman is athletic.  She likes to exercise and go for runs.  She likes to spend time outside.
5267577543424-247,0,9,-1,10,9,3,-1,-1,66.66666412,0,100,0,66.66666412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333206,0.059999999,0,0,0,0,0,0.25,0.88671875,0.53515625,0.41015625,1,0.125,0.59375,0.99609375,1,0.125,0.59375,0.99609375,1,0.273584902,0.273584902,0.273584902,1,Very slender white female. Short blue hear that reaches the neckline. Very blue eyes.,They are wearing a professional uniform. This is the uniform of a police officer.they have in a tie and red high heels.,Very professional in attire. Tough looking individual. Military style bearing.,Very slender white female. Short blue hear that reaches the neckline. Very blue eyes. They are wearing a professional uniform. This is the uniform of a police officer.they have in a tie and red high heels. Very professional in attire. Tough looking individual. Military style bearing.
13536108800-3,0,-1,0,7,3,0,-1,-1,100,0,33.33333206,0,33.33333206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.33333206,0.059999999,0,0,0,0,0,0.25,0.66015625,0.30859375,0.1796875,1,0.7421875,0.7421875,0.7421875,1,0.7421875,0.7421875,0.7421875,1,0.273584902,0.273584902,0.273584902,1,This person appears to be of average height and stature. They have can dark skin and white eyes. They have gray eyebrows.,This person is wearing a black and white brim hat. They're wearing a gray colored blazer with a light gray shirt underneath. They're wearing straight maroon colored pants and white boots.,This woman appears to be elderly but also dresses somewhat fashionably. I can see her being a single older woman he is going out to town with her friends. She doesn't seem to be very grandmotherly.,This person appears to be of average height and stature. They have can dark skin and white eyes. They have gray eyebrows. This person is wearing a black and white brim hat. They're wearing a gray colored blazer with a light gray shirt underneath. They're wearing straight maroon colored pants and white boots. This woman appears to be elderly but also dresses somewhat fashionably. I can see her being a single older woman he is going out to town with her friends. She doesn't seem to be very grandmotherly.
5269809366449-248,0,9,-1,8,9,2,-1,-1,66.66666412,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.059999999,0,0,0,0,0,0.25,0.41015625,0.1796875,0.09765625,1,0,0.4921875,0,1,0.99609375,0.9375,0,1,0.273584902,0.273584902,0.273584902,1,"She is short waisted, with long legs and a fairly large bosom. She also has a short neck and medium-brown skin tone. Her eyes are green and her yellow hair is very flat and straight; her hair comes to her shoulders and has no bangs.",She wears blue-gray straight-legged jeans over white tennis shoes. Her pullover top is sleeveless and green. She wears some kind of device clipped to a belt at her waist.,She doesn't appear highly educated and doesn't work in a white collar job. She may work in public service or some other service-type job. She looks somewhat street tough and not very feminine.,"She is short waisted, with long legs and a fairly large bosom. She also has a short neck and medium-brown skin tone. Her eyes are green and her yellow hair is very flat and straight; her hair comes to her shoulders and has no bangs. She wears blue-gray straight-legged jeans over white tennis shoes. Her pullover top is sleeveless and green. She wears some kind of device clipped to a belt at her waist. She doesn't appear highly educated and doesn't work in a white collar job. She may work in public service or some other service-type job. She looks somewhat street tough and not very feminine."
1354165632961-57,0,1,-1,1,5,7,-1,9,100,0,66.66666412,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333206,0.059999999,0,0,0,0,0,0.25,0.59765625,0.27734375,0.15625,1,0.125,0.59375,0.99609375,1,0.125,0.59375,0.99609375,1,0.273584902,0.273584902,0.273584902,1,The person is female with a slight build. Her skin is dark  tan or brown. Her hair and eyes are blue.,"She's wearing black slacks with a white t-shirt. Her vest is red. Her shoes are grey and have heels, and there's a blue mask covering her lower face.","She looks like she might work in an office. Her slacks look neat and her shoes give her a professional polish. She wears a mask, so maybe she works with people.","The person is female with a slight build. Her skin is dark  tan or brown. Her hair and eyes are blue. She's wearing black slacks with a white t-shirt. Her vest is red. Her shoes are grey and have heels, and there's a blue mask covering her lower face. She looks like she might work in an office. Her slacks look neat and her shoes give her a professional polish. She wears a mask, so maybe she works with people."
5273994979089-249,0,9,2,9,11,1,-1,0,33.33333206,0,33.33333206,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-0.02,0,0,0,0,0,-0.083333336,0.40234375,0.1796875,0.12890625,1,0.99609375,0,0,1,0.99609375,0,0.99609375,1,0.273584902,0.273584902,0.273584902,1,This is a medium built tan skinned woman. She has a large chest and no hair. Her eyes are bright purple.,She is wearing black flats and blue jeans. She has a grey hat on. Her red jacket is zipped up and has white stripes on the shoulders.,This woman looks like she works as a barista. She is going to college part time. She enjoys long walks on the beach.,This is a medium built tan skinned woman. She has a large chest and no hair. Her eyes are bright purple. She is wearing black flats and blue jeans. She has a grey hat on. Her red jacket is zipped up and has white stripes on the shoulders. This woman looks like she works as a barista. She is going to college part time. She enjoys long walks on the beach.
